QUOTES,AUTHOR
"""You don’t have to rush your healing—take it one breath at a time.""",
"""Healing is a journey, not a race. Go at your own pace.""",
"""You deserve to heal in a way that feels right for you.""",
"""You are allowed to be both healing and struggling at the same time.""",
"""Scars are proof that you fought and won.""",
"""There is no shame in seeking help; it is a sign of strength.""",
"""One day, the things that hurt you won’t hold power over you anymore.""",
"""Your healing is not linear, and that’s okay.""",
"""You are not your anxious thoughts; you are the observer of them.""",
"""Worry steals today’s joy without solving tomorrow’s problems.""",
"""Your mind can be noisy, but you are still in control.""",
"""You do not have to believe every thought you think.""",
"""Anxiety is a storm; it will pass if you let it.""",
"""Breathe deeply. You are safe in this moment.""",
"""Not everything your mind imagines will come true—trust in the present.""",
"""Your worries do not define you. Your courage does.""",
"""Let go of the need to control everything. Peace comes in surrender.""",
"""You are not failing because you feel anxious. You are learning how to navigate it.""",
"""Your sadness does not define your worth.""",
"""Even the heaviest clouds do not stay forever.""",
"""You are needed, even when your mind tells you otherwise.""",
"""Depression is a liar. You are loved, you are valuable, you matter.""",
"""Your feelings are real, but they are not permanent.""",
"""You will not feel this way forever. Keep holding on.""",
"""You are not failing at life; you are just in a hard chapter.""",
"""You are not a lost cause. You are a soul finding its way.""",
"""Even in your darkest moments, hope is still alive within you.""",
"""The world is a better place with you in it.""",
"""You are allowed to walk away from anything that disrupts your peace.""",
"""Not every ending is a loss—some are the beginning of something better.""",
"""Forgive yourself for what you didn’t know before.""",
"""Letting go is not giving up; it’s choosing freedom.""",
"""You do not have to carry the weight of your past forever.""",
"""Some things are meant to be released, not fixed.""",
"""You owe yourself a fresh start.""",
"""The past is a teacher, not a life sentence.""",
"""Don’t hold onto what hurts just because it’s familiar.""",
"""Your peace is worth more than your past.""",
"""Your needs matter, too.""",
"""Taking a break is not quitting; it’s refueling.""",
"""You do not have to earn rest. You deserve it.""",
"""A healthy mind is the greatest investment you can make.""",
"""Boundaries are self-care. Protect your peace.""",
"""Self-care is a necessity, not a luxury.""",
"""You cannot pour from an empty cup—fill yours first.""",
"""Make yourself a priority without guilt.""",
"""Choose rest, not burnout.""",
"""Caring for yourself is a revolutionary act.""",
"""Every sunrise is a chance to begin again.""",
"""Your past does not dictate your future.""",
"""What if everything is falling into place, not falling apart?""",
"""Sometimes, losing yourself is the first step to finding yourself.""",
"""Every moment is an opportunity to rewrite your story.""",
"""You are allowed to grow beyond who you used to be.""",
"""New beginnings often feel like endings.""",
"""Don’t fear change; fear staying the same when growth is calling.""",
"""Your mindset shapes your world—choose thoughts that lift you.""",
"""You have the power to create a life that feels good to you.""",
"""I believe that the very purpose of our life is to seek happiness.""",Dalai Lama
"""Happiness is determined more by one's state of mind than by external events.""",Dalai Lama
"""The ability to be happy is in everyone's nature.""",Dalai Lama
"""Our fundamental nature is gentleness.""",Dalai Lama
"""Reaching out to help others may be as fundamental to our nature as communication.""",Dalai Lama
"""Mental health is not a destination, but a process. It's about how you drive, not where you're going.""",
"""You are not your illness. You have an individual story to tell. You have a name, a history, a personality. Staying yourself is part of the battle.""",
"""Recovery is not one and done. It is a lifelong journey that takes place one day, one step at a time.""",
"""The only journey is the journey within.""",
"""Your present circumstances don't determine where you can go; they merely determine where you start.""",
"""Healing takes time, and asking for help is a courageous step.""",
"""It's okay to not be okay. Your feelings are valid.""",
"""Therapy is not a sign of weakness; it's a sign of strength.""",
"""You don't have to struggle in silence. Help is available.""",
"""Your mental health is a priority. Your happiness is an essential.""",
"""You can't take care of your kids if you don't take care of yourself."" ",— Goldie Hawn
"""In the current era, therapists find themselves navigating new challenges as they support clients impacted by politically charged policies.""",
"""Shout is the UK's first 24-hour text messaging service for mental health assistance.""",
"""Experts emphasize the importance of preventive psychology and the need for more school-based psychologists.""",
"""Parental well-being is crucial in these uncertain times.""",
"""The greatest glory in living lies not in never falling, but in rising every time we fall."" ",— Nelson Mandela
"""You, yourself, as much as anybody in the entire universe, deserve your love and affection.""", — Buddha
"""Out of suffering have emerged the strongest souls; the most massive characters are seared with scars."" ",— Kahlil Gibran
"""The wound is the place where the Light enters you.""", — Rumi
"""What mental health needs is more sunlight, more candor, and more unashamed conversation."" ",— Glenn Close
"""There is hope, even when your brain tells you there isn't."" ",— John Green
"""Mental health problems don't define who you are. They are something you experience. You walk in the rain and you feel the rain, but, importantly, YOU ARE NOT THE RAIN."" ",— Matt Haig
"""You are the one thing in this world, above all other things, that you must never give up on."" ",— Lili Reinhart
"""Your mental health is everything – prioritize it. Make the time like your life depends on it, because it does."" ",— Mel Robbins
"""Healing doesn't mean the damage never existed. It means the damage no longer controls our lives."" ",— Akshay Dubey
"""Sometimes the people around you won't understand your journey. They don't need to; it's not for them."" ",— Joubert Botha
"""You are not your illness. You have a story to tell. You have a name, a history, a personality. Staying yourself is part of the battle."" ",— Julian Seifter
"""The strongest people are those who win battles we know nothing about."" ",
"""Your present circumstances don't determine where you can go; they merely determine where you start."" ",— Nido Qubein
"""You don’t need to be perfect to be worthy of love and kindness.""",
"""You are not a mistake; you are a masterpiece in progress.""",
"""Stop comparing your journey to others—your path is beautifully yours.""",
"""You are enough, even on the days you feel otherwise.""",
"""Your flaws do not make you unlovable; they make you real.""",
"""Being kind to yourself is just as important as being kind to others.""",
"""No one else has your heart, your soul, your light. You are irreplaceable.""",
"""You are a work of art, even with the unfinished edges.""",
"""Your value is not measured by your productivity or achievements.""",
"""The way you talk to yourself matters—make sure it’s with kindness.""",
"""You don’t need to see the whole staircase, just take the first step.""",
"""No matter how heavy today feels, tomorrow is a new beginning.""",
"""You’ve survived every tough moment so far. You will get through this too.""",
"""The sun always rises, and so will you.""",
"""Your story is not over. Keep writing.""",
"""Even in the darkest night, the stars still shine.""",
"""You are not alone. Someone cares about you more than you know.""",
"""You are stronger than the storm you are facing.""",
"""Hope is a quiet whisper—listen for it.""",
"""Brighter days are ahead, even if you can’t see them yet.""",
"""You have overcome so much. Don’t underestimate your strength.""",
"""Growth happens when you keep going, even when it’s hard.""",
"""Every challenge you face is shaping the strongest version of you.""",
"""Strength is found in the moments you thought you couldn’t keep going—but did.""",
"""Your scars are not signs of weakness; they are proof of survival.""",
"""Pain may slow you down, but it does not define you.""",
"""Even when your legs shake, stand tall.""",
"""Some of the strongest people are the ones who’ve had to fight the hardest battles.""",
"""You were built to rise, no matter how many times you fall.""",
"""The fire inside you is stronger than the storm around you.""",
"""Healing doesn’t happen overnight, and that’s okay.""",
"""Every day you choose yourself is a step toward healing.""",
"""Your wounds do not make you weak; they make you human.""",
"""Healing isn’t about forgetting—it’s about growing beyond the pain.""",
"""It’s okay to cry. It’s okay to rest. It’s okay to heal at your own pace.""",
"""Your heart is still beating. That means healing is still possible.""",
"""Small steps still lead to big healing.""",
"""It’s okay if some days you need to just breathe and be.""",
"""Healing is not linear. It’s messy, beautiful, and worth it.""",
"""Give yourself the grace to heal without rushing the process.""",
"""An anxious mind is not a broken mind—it just needs patience and care.""",
"""You are not your anxious thoughts; you are the observer of them.""",
"""Breathe deeply. You are safe in this moment.""",
"""Overthinking creates problems that aren’t even there. Let go and trust.""",
"""Your thoughts do not have to control your actions.""",
"""Calmness is within you—you just have to slow down and find it.""",
"""You are not weak because you feel anxious. You are human.""",
"""Just because you think it doesn’t mean it’s true.""",
"""Anxiety is just a wave—let it pass without fighting it.""",
"""You are bigger than your worries, even when they feel overwhelming.""",
"""You are not the darkness; you are the light fighting to break through.""",
"""Even on your hardest days, your existence matters.""",
"""The weight you carry is real, but you don’t have to carry it alone.""",
"""Depression lies to you—don’t believe everything it tells you.""",
"""You are not alone, no matter how lonely you feel.""",
"""This sadness will not last forever. Hold on.""",
"""There is still beauty in this world for you to see.""",
"""Your mind may feel heavy, but your soul is still strong.""",
"""You are allowed to ask for help. You don’t have to do this alone.""",
"""Even in your darkest moment, you are still loved.""",
"""Not every loss is a defeat—some are redirections.""",
"""You are allowed to walk away from what no longer serves you.""",
"""Letting go is not giving up; it’s making room for something better.""",
"""What is meant for you will find you, no chasing required.""",
"""Sometimes, the hardest goodbye leads to the best new beginning.""",
"""Your past is a lesson, not a life sentence.""",
"""Forgiveness is not for them—it’s for your peace.""",
"""Moving on doesn’t mean forgetting; it means choosing peace over pain.""",
"""Some endings are really just new beginnings in disguise.""",
"""You don’t have to carry yesterday’s burdens into today.""",
"""You deserve rest just as much as you deserve success.""",
"""Taking time for yourself is not selfish—it’s necessary.""",
"""Your energy is valuable. Spend it wisely.""",
"""Boundaries are a form of self-care. Protect your peace.""",
"""You cannot pour from an empty cup—refill yours first.""",
"""Taking care of your mind is just as important as taking care of your body.""",
"""You deserve love, even from yourself.""",
"""Do one thing today that makes your soul feel lighter.""",
"""Self-care is not a luxury—it’s a survival skill.""",
"""Give yourself the same love you freely give to others.""",
"""What if everything you’re going through is leading to something amazing?""",
"""Your thoughts shape your world—choose them wisely.""",
"""This moment is not your forever. Change is coming.""",
"""Every day is a fresh start—you can rewrite your story at any time.""",
"""You are not stuck; you are in the process of becoming.""",
"""You are not defined by your worst days, but by the strength to keep going.""",
"""Your presence alone is enough—you don’t have to prove your worth.""",
"""You are more than the mistakes you’ve made.""",
"""Your uniqueness is your superpower—never dim your own light.""",
"""Loving yourself is not arrogance; it’s survival.""",
"""Speak to yourself like someone you deeply love.""",
"""You are allowed to be both a masterpiece and a work in progress.""",
"""You are enough, even when you feel like you aren’t.""",
"""Your kindness to yourself is just as important as your kindness to others.""",
"""You don’t have to be perfect to be deserving of love and happiness.""",
"""The sun will rise again, and so will you.""",
"""This chapter is not the whole story—better days are ahead.""",
"""One day, the things that hurt will be things that made you stronger.""",
"""No matter how slow you go, progress is still progress.""",
"""The world is brighter because you are in it.""",
"""You won’t always feel like this. Change is coming.""",
"""Every storm runs out of rain—this too shall pass.""",
"""You are not a burden; you are a blessing.""",
"""Even in the darkness, there is always a flicker of hope.""",
"""Hold on. You are closer to the light than you think.""",
"""Strength isn’t never falling; it’s always getting back up.""",
"""You have survived 100% of your hardest days—you are unstoppable.""",
"""You are more powerful than the thoughts that try to break you.""",
"""Beneath the weight of struggle, your strength is growing.""",
"""You’ve been through battles that no one saw—and yet, you are still here.""",
"""Your resilience is louder than your doubts.""",
"""The hardest roads often lead to the most beautiful destinations.""",
"""You are made of courage, even when you don’t feel it.""",
"""You are braver than the fear that whispers in your mind.""",
"""There is nothing weak about struggling; strength is found in the fight.""",
"""Healing takes time, and time takes patience—be gentle with yourself.""",
"""Your past pain does not define your future joy.""",
"""Every small step you take is proof that healing is happening.""",
"""You are allowed to grow at your own pace.""",
"""Healing is not about erasing the past, but learning to live beyond it.""",
"""Your scars tell a story of survival, not failure.""",
"""Recovery is not a straight road, but every step forward counts.""",
"""It’s okay to take breaks—healing is not a race.""",
"""You are healing in ways you don’t even realize.""",
"""Your heart is learning how to beat without the weight of pain.""",
"""You are not your thoughts—let them come and go like waves.""",
"""Not every thought deserves your attention or belief.""",
"""Anxiety is loud, but your peace can be louder.""",
"""You don’t need to have everything figured out to move forward.""",
"""Right here, right now, you are safe.""",
"""Overthinking won’t solve tomorrow’s problems—it only steals today’s peace.""",
"""Let go of the need for control and trust in the flow of life.""",
"""Worry is like a rocking chair—it keeps you busy but takes you nowhere.""",
"""Your thoughts are not reality; they are just passing clouds in the sky of your mind.""",
"""You don’t need to predict the future—just take one step at a time.""",
"""Even when you can’t see the light, it is still there.""",
"""You are not broken—you are a soul searching for the sun.""",
"""Your sadness does not make you less worthy of love.""",
"""Depression does not define you. You are more than this battle.""",
"""It’s okay to ask for help—you are never meant to carry this alone.""",
"""You are not weak for feeling deeply; you are beautifully human.""",
"""This is not the end of your story—keep turning the pages.""",
"""Even in the darkest tunnel, there is always a way out.""",
"""You are needed, loved, and important—even if you don’t feel it right now.""",
"""Hold on, even when it feels impossible. Brighter days are ahead.""",
"""Some things must be left behind to make space for what’s ahead.""",
"""Not all endings are sad—some are new beginnings in disguise.""",
"""Holding onto pain won’t change the past, but letting go will change your future.""",
"""You don’t have to carry what no longer belongs to you.""",
"""Forgiveness is freedom—not for them, but for you.""",
"""Let go, not because it was easy, but because you deserve peace.""",
"""You are allowed to walk away from anything that steals your joy.""",
"""Release the past so the future can enter.""",
"""Some doors are meant to close so better ones can open.""",
"""Peace comes when you stop revisiting the things that broke you.""",
"""Your mental health matters just as much as your physical health.""",
"""You deserve rest, not just when you’re exhausted, but always.""",
"""You do not need permission to take care of yourself.""",
"""Prioritizing your peace is never selfish.""",
"""Take time for yourself—it’s not a luxury, it’s a necessity.""",
"""Listen to your mind, body, and soul—they will tell you what they need.""",
"""The way you care for yourself teaches others how to treat you.""",
"""Self-care is not a reward; it’s a responsibility.""",
"""Boundaries are not walls; they are gates that protect your peace.""",
"""A calm mind is a powerful mind—nurture it.""",
"""Every day is a chance to start again.""",
"""What if everything works out better than you imagined?""",
"""You are allowed to rewrite your story at any time.""",
"""Nothing stays the same forever—not even the hard times.""",
"""Change begins when you stop believing in your limitations.""",
"""Encouraging someone to be entirely themselves is the loudest way to love them."" ",Kalen Dion
"""You deserve the softness you treath others with."" ",
"""Change is scary, but so is staying the same."" ",
""" It'll never be the same again and thank god it won't be."" ",
"""Focus on the good. Nurture it."" ",
"""Stop asking strangers for directions too a place you're meant to create yourself."" ",
"""Kill the urge to be chosen. Choose yourself."" ",SZA
"""Be so rooted in yourself that nobody's absence or presence can disturb your peace."" ",
"""Be patient when becoming someone you haven't been before.""",Tanya Markil
"""If the only thing stopping you is fear, why not get to know it?"" ",
"""You need to feel at peace more than you need to feel in control.""",
"""And when you least expect it to, that is when it'll work out."" ",
"""In case you haven't been told lately... You are loved. You are important. And you matter.""",
"""Progress > Perfection""",
"""Healing anxiety doesn't require perfection."" ",
"""Be happy. Not because everything is good, but because you can see the good in everything."" ",
"""You're probably doing better than you think."" ",
"""Infinite adventures are waiting for you."" ",
"""Surround yourself with people who fight for you in rooms you aren't in."" ",
"""You are responsbile for your life. No one is coming to save you - so save yourself."" ",
"""In 2-3 years you really can be somewhere you never imagined. That's why it's important to keep going."" ",
"""Kindness makes you the most beautiful person in the world. No matter what you look like."" ",
"""Choose people who choose you."" ",
"""You are not what happened to you, you are what you choose to become."" 4",
"""Whatever you're looking for is looking for you, too.""",
"""Your inner child is still rooting for you to win.""",
"""Keep putting good out. It will come back to you tennfold in unexpected ways. Believe it!"" ",
"""The way you talk to yourself matters."" ",
"""Speak fluently in your own language of love."" ",
"""Focus on becoming someone who intentionally curates a beautiful life for themselves.""",
"""Indulge in things that help establish a deeper connection between you and your inner child."" ",
"""Go alone, instead of putting your joy on hold and waiting for the timelines with your loved ones to sync."" ",
"""The real luxuries in our lives are the soft moments of quality time that we spend with ourselves.""",
"There is nothing more beautiful than when you prove to yourself just how strong you are."" ",
"""Strength isn't measurede by muscle; it's measured by resilience."" ",
"Resilience is the ability to turn challenges into opportunities."" ",
"""I am strong, resilient, and capable of overcoming any challenge."" ",
"""Don't forget to look around and appreciate the things that are going right as well."" ",
"""You're not behind in life. You're just on your own timeline."" ",
"""Not everyone you lose is a loss."" ",
"""You cannot pour from an empty cup, no matter how much you want to."" ",
"""If you take care of your mind, your mind will take care of you."" ",
"""Many people never heal because they keep pretending they're not hurt.""",
"""The version of you they remember no longer exists."" ",
"""The day you stop chasing people is the day they start noticing you."" ",
"""You don't need more time. You need more discipline."" ",
"""You are only one decision away from an entirely different life."" ",
"""You can't heal what you  keep denying."" ",
"""Silence is a response too, and sometimes, it's the loudest one."" ",
"""The pain you run from in your youth is the pain you chase in your adulthood."" ",
"""Some people are like clouds. When they disappear, the days get brighter."" ",
"""Sometimes growth feels like breaking.""",
"""Your excuses will never give you the life you desire."" ",
"""You don’t need permission to love yourself exactly as you are.""",
"""You are not a problem to be fixed—you are a soul to be nurtured.""",
"""You are not an inconvenience; you are a miracle in motion.""",
"""Your worth is not measured by how others see you—it is measured by how you see yourself.""",
"""You are allowed to take up space in this world.""",
"""Your imperfections are not flaws; they are marks of your uniqueness.""",
"""You are worthy of happiness, even on the days you don’t feel like it.""",
"""The love you give to yourself teaches others how to love you.""",
"""Your existence is not a mistake. You are here for a reason.""",
"""Self-love is not a destination—it’s a lifelong journey.""",
"""The night may be long, but morning always comes.""",
"""Your story doesn’t end here—keep going.""",
"""Even on your weakest days, you are still strong.""",
"""Tomorrow is another chance to find joy in the little things.""",
"""You don’t have to be perfect to deserve happiness.""",
"""One day, this moment will be a distant memory—hold on for brighter days.""",
"""You are not failing; you are growing in ways you can’t yet see.""",
"""Even if today was hard, you still made it through.""",
"""You are capable of finding light in the darkest places.""",
"""The best days of your life have not even happened yet.""",
"""You are made of more courage than you realize.""",
"""Your struggles do not define you; your perseverance does.""",
"""Every time you thought you’d break, you bent and became stronger.""",
"""Strength isn’t about never falling—it’s about always rising.""",
"""You have overcome so much—don’t forget how powerful you are.""",
"""Even when you feel fragile, your spirit remains unbreakable.""",
"""You have fought battles no one knows about, and that makes you a warrior.""",
"""Hardships don’t make you weaker; they refine you.""",
"""You are more powerful than the pain that tries to break you.""",
"""The weight of the world may be heavy, but so is your strength.""",
"""Healing isn’t about rushing—it’s about allowing yourself to feel and grow.""",
"""You are healing, even in the moments you feel like you’re not.""",
"""Your pain is valid, but it does not define your future.""",
"""The past does not have to dictate the rest of your story.""",
"""Every scar you carry is proof that you made it through.""",
"""You are not behind in life; you are healing at your own pace.""",
"""Give yourself permission to start over as many times as you need.""",
"""You are not weak for needing time to heal.""",
"""The wounds that hurt the most often become the wisdom that guides us.""",
"""Your healing is not selfish—it’s necessary.""",
"""Not every thought deserves your belief.""",
"""Breathe deeply—peace is found in the present moment.""",
"""Overthinking is like a rocking chair—it keeps you busy but takes you nowhere.""",
"""You don’t need all the answers right now—just take the next step.""",
"""Fear is just a visitor; don’t let it unpack and stay.""",
"""Your thoughts do not define you; your actions do.""",
"""Worry does not prevent tomorrow’s troubles; it only steals today’s peace.""",
"""You are not trapped in your mind—you are just passing through a storm.""",
"""Breathe in strength, breathe out doubt.""",
"""Anxiety is temporary—your strength is permanent.""",
"""You are not lost; you are in the process of finding yourself.""",
"""Even in your darkest moments, you are still worthy of love.""",
"""Your sadness does not make you unlovable—it makes you human.""",
"""This heavy feeling is not forever. It will pass.""",
"""You do not have to suffer in silence—help is always within reach.""",
"""Your mind may feel like a storm, but your soul is still standing.""",
"""You matter, even when your mind tries to convince you otherwise.""",
"""You are not the pain you carry—you are the light fighting through it.""",
"""Even in the shadows, your soul still shines.""",
"""Hold on—the world is a better place with you in it.""",
"""Let go of the things that no longer bring you peace.""",
"""You don’t have to carry yesterday’s pain into today.""",
"""Not every battle needs to be fought—some are meant to be walked away from.""",
"""You are allowed to release what no longer serves you.""",
"""Sometimes, the bravest thing you can do is walk away.""",
"""Letting go does not mean giving up—it means making space for something better.""",
"""Not every door is meant to stay open—some are meant to close for your peace.""",
"""Forgiveness is not about them—it’s about freeing yourself.""",
"""Let go of the past so your hands can hold the future.""",
"""Moving forward does not mean forgetting—it means choosing yourself.""",
"""Rest is not a reward; it is a necessity.""",
"""Prioritizing your peace is an act of self-love.""",
"""You are allowed to pause without feeling guilty.""",
"""Your mental health is more important than any obligation.""",
"""Boundaries are not walls; they are acts of self-respect.""",
"""You do not have to explain why you need rest—just take it.""",
"""Peace is not something you find; it is something you create.""",
"""You don’t need permission to care for yourself.""",
"""Self-care is not selfish—it is survival.""",
"""Your well-being is worth the effort.""",
"""You are not stuck—you are growing in ways unseen.""",
"""Every ending is just a disguised beginning.""",
"""Change feels scary, but staying the same is scarier.""",
"""Your past does not have to dictate your future.""",
"""A fresh start is always one decision away.""",
"""You alone are enough. You have nothing to prove to anybody."" ",— Maya Angelou
"""You are not what you’ve been through. You are what you choose to become.""",
"""You have been criticizing yourself for years, and it hasn’t worked. Try approving of yourself and see what happens."" ",— Louise Hay
"""Your value doesn’t decrease based on someone’s inability to see your worth.""",
"""You deserve the same love you so freely give to others.""",
"""Stop apologizing for who you are. You are not too much. You are not too little. You are simply you, and that is enough.""",
"""Your self-worth is not up for debate. You are worthy simply because you exist.""",
"""When you love yourself, the world reflects that love back to you.""",
"""Speak to yourself like someone you deeply care for."" ",— Brené Brown
"""Falling in love with yourself is the first secret to happiness."" ",— Robert Morley
"""Hope is being able to see that there is light despite all of the darkness."" ",— Desmond Tutu
"""No matter how dark the night, morning always comes.""",
"""Your best days are not behind you. They are ahead of you.""",
"""This moment does not define you. Keep writing your story.""",
"""Sometimes the bravest thing you can do is to keep going when you want to give up.""",
"""You don’t have to see the whole staircase, just take the first step."" ",— Martin Luther King Jr.
"""It always seems impossible until it’s done."" ",— Nelson Mandela
"""The future is not something we enter. The future is something we create."" ",— Leonard Sweet
"""One day, you will tell your story of how you overcame what you went through, and it will be someone else’s survival guide."" ",— Brené Brown
"""You are stronger than you think, and tomorrow needs you.""",
"""I am not what happened to me, I am what I choose to become."" ",— Carl Jung
"""Rock bottom will teach you lessons that mountain tops never will.""",
"""Courage doesn’t mean you don’t get afraid. Courage means you don’t let fear stop you.""",
"""You survived what you thought would break you. You are unbreakable.""",
"""Tough times never last, but tough people do."" ",— Robert H. Schuller
"""You have been through storms before, and you will get through this one too.""",
"""Every time you rise after falling, you become stronger than before.""",
"""You are more resilient than you know. The strength is already inside you.""",
"""Do not pray for an easy life; pray for the strength to endure a difficult one."" ",— Bruce Lee
"""What lies behind you and what lies in front of you, pales in comparison to what lies inside of you."" ",— Ralph Waldo Emerson
"""Healing is not linear. Some days you’ll take ten steps forward, and others you’ll take five steps back. Both are progress.""",
"""Scars are proof that you healed from something that tried to break you.""",
"""The greatest healing comes when you stop running from your pain and start facing it with love.""",
"""Healing takes courage, and we all have courage, even if we have to dig a little to find it."" ",— Tori Amos
"""You are allowed to take as long as you need to heal. There is no deadline for inner peace.""",
"""Your healing doesn’t have to make sense to anyone else—it only needs to matter to you.""",
"""No storm lasts forever, and neither does the pain.""",
"""You don’t have to heal perfectly, you just have to keep choosing to move forward.""",
"""You are worthy of a life that feels like home to you.""",
"""Healing is giving yourself permission to feel, to grieve, to rest, and to rise again.""",
"""Worry is like a rocking chair: it gives you something to do but never gets you anywhere."" ",— Erma Bombeck
"""Not every thought that enters your mind deserves your belief.""",
"""Breathe. You are in control, not your thoughts.""",
"""Anxiety lies. It tells you that you are in danger when you are safe.""",
"""Your mind is like a sky, and your thoughts are clouds. Let them pass.""",
"""You don’t have to believe everything you think.""",
"""Pause, breathe, and let go of the things that no longer serve you.""",
"""Replace worry with wonder. What if it all works out?""",
"""You are not the storm in your mind. You are the calm beneath it.""",
"""Let go of control and trust in the flow of life.""",
"""Even in the darkest night, the stars still shine.""",
"""You are not the darkness you feel. You are the light trying to break through.""",
"""You are not broken; you are bending, adapting, and growing.""",
"""The world is better with you in it. Never forget that.""",
"""One day, this heavy fog will lift, and you will see the sun again.""",
"""Your feelings are valid, but they do not define your future.""",
"""The pain you feel today is making room for the strength you need tomorrow.""",
"""Depression is a battle, but you are a warrior.""",
"""The world needs your voice, your story, and your light.""",
"""It’s okay to rest. You are not weak for needing help.""",
"""Let go, not because it’s easy, but because you deserve peace.""",
"""Holding on to what hurts only delays your healing.""",
"""Forgiveness is a gift you give yourself, not them.""",
"""Some things are meant to be let go, so better things can come.""",
"""You are not your past. You are the person who survived it.""",
"""You are allowed to walk away from anything that no longer serves you.""",
"""Peace begins where attachment ends.""",
"""Your past was a chapter, not the whole book.""",
"""Letting go doesn’t mean you lost—it means you chose yourself.""",
"""The weight you release today will help you rise tomorrow.""",
"""Your soul is not broken; it is simply unfolding.""",
"""You are not alone in your struggle. The universe holds you gently in its hands.""",
"""Even in your lowest moments, there is a divine whisper reminding you to keep going.""",
"""What feels like an ending may be the beginning of something sacred.""",
"""Your spirit is made of light—no darkness can extinguish it.""",
"""Rest in the knowing that healing comes in waves, and you are floating towards peace.""",
"""You are not your pain. You are the light fighting through it.""",
"""The divine in you is stronger than the darkness around you.""",
"""Trust that even in your suffering, something beautiful is being created.""",
"""Peace begins when we surrender to the flow of life rather than resist it.""",
"""You are not lost. You are simply on a journey that others cannot see.""",
"""The stars do not apologize for shining in the dark, and neither should you.""",
"""Somewhere in the silence between your thoughts, peace is waiting for you.""",
"""Like the moon, you are whole—even when you feel like only a sliver of yourself.""",
"""A broken heart still beats, and a weary soul still dreams.""",
"""The sun does not rush its rising, yet it always returns. So will your light.""",
"""You are a book still being written—do not judge yourself by one difficult chapter.""",
"""Your mind is a garden. Water what brings you peace, and uproot what brings you pain.""",
"""Even flowers grow through the dirt. You are no different.""",
"""You are not just surviving—you are transforming.""",
"""Your brain is not your enemy. It is healing in ways you cannot see.""",
"""Neuroplasticity means that no matter where you are now, your mind can be rewired for peace.""",
"""Anxiety is your brain trying to protect you. Teach it that you are safe.""",
"""Every time you breathe deeply, you tell your nervous system: ‘You are safe now.’""",
"""Your body keeps the score, but it also holds the power to heal."" — Dr. Bessel van der Kolk",
"""You are not ‘lazy’—your nervous system is in survival mode. Be gentle with yourself.""",
"""Healing your mind is not a straight road; it is a beautiful, winding journey.""",
"""Even when depression tells you otherwise, you are wired for joy and connection.""",
"""Your brain can learn new patterns of peace, no matter how long anxiety has lived there.""",
"""Emotions are not enemies. They are messengers—listen, but do not let them rule you.""",
"""You have survived 100% of your worst days. You will survive this one too.""",
"""Storms pass. Sunlight always returns. Keep holding on.""",
"""You have made it through days you thought you wouldn’t. That is strength.""",
"""When you think you cannot go on, take one more breath, one more step.""",
"""You are not failing. You are learning how to rise.""",
"""A caterpillar may think its life is over, but the world is waiting for its wings.""",
"""Not every day will be easy, but every day is a new chance to heal.""",
"""The darkness is not your home. Keep walking toward the light.""",
"""The world is waiting to hear your story. Do not let this chapter be your last.""",
"""What feels unbearable today will one day be just a story of how you survived.""",
"""You are not your thoughts. You are the observer of your thoughts.""",
"""Overthinking steals your joy but gives you nothing in return.""",
"""Not everything that is heavy is yours to carry.""",
"""Breathe in peace. Breathe out fear.""",
"""You don’t need all the answers. You only need to take the next step.""",
"""Fear is loud, but courage whispers—listen for the quiet strength inside you.""",
"""Your thoughts are clouds; let them pass without holding onto them.""",
"""Worry is a misuse of imagination. Use it to create, not to fear.""",
"""Anxiety is a storm. But you are the sky—vast, unshaken, infinite.""",
"""Your mind needs rest just as much as your body does.""",
"""Even the longest night ends in dawn.""",
"""You are not your sadness. You are the love that still exists beneath it.""",
"""The world needs your light, even if you cannot see it yet.""",
"""Your story does not end here. There is more to be written.""",
"""You are not weak for struggling. You are human for feeling.""",
"""You are not alone, even when your mind tells you otherwise.""",
"""Even if today feels impossible, stay for tomorrow.""",
"""Depression tells you that you don’t matter. But it lies.""",
"""Hold on a little longer. The sun will rise again.""",
"""You matter. You always have. You always will.""",
"""Let go, not because you must, but because you deserve peace.""",
"""The past cannot be changed, but today is still yours to shape.""",
"""Forgiveness is not for them; it is for you.""",
"""You are not bound to yesterday’s pain.""",
"""Every ending makes room for a new beginning.""",
"""The door that closed was never meant for you.""",
"""Release the weight of what is not yours to hold.""",
"""You do not have to carry what hurt you.""",
"""Some things must break so better things can be built.""",
"""You are allowed to walk away from anything that disturbs your peace.""",
"""The wound is the place where the light enters you.""", — Rumi
"""He who has a why to live can bear almost any how."" ",— Friedrich Nietzsche
"""When you let go of who you think you should be, you become who you are."" ",— Lao Tzu
"""It’s not the load that breaks you down, it’s the way you carry it."" ",— Lou Holtz
"""Your task is not to seek for love, but merely to seek and find all the barriers within yourself that you have built against it."" ",— Rumi
"""The longest journey you will make is the journey from your head to your heart."" ",— Chinese Proverb
"""The soul always knows what to do to heal itself. The challenge is to silence the mind."" ",— Caroline Myss
"""There is no way to happiness; happiness is the way."" ",— Thich Nhat Hanh
"""Let yourself be silently drawn by the strange pull of what you really love. It will not lead you astray."" ",— Rumi
"""You must be the change you wish to see in the world."" ",— Mahatma Gandhi
